.!bt   |   BitTorrent Incomplete Download file
Workspace (Xlisp)
.wll   |   Word Add-in
.wlk   |   Graphics (Virtus Walkthrough)
.wlt   |   eWallet file
WaveL Wavelet Compressed Graphic
Words of Worship Liturgy
.wma   |   Microsoft Active Streaming file
.wmc   |   Backup of startup files by Windows MathCad autoexec.wmc
Macro file (WordPerfect for Win)
Text file (WordMARC)
.wmf   |   Windows MetaFile vector graphics
.wml   |   Wireless Markup Language
.wmv   |   MS Active Streaming file
.wmz   |   Windows Media Compressed skin file
.wn   |   Text (NeXT WriteNow)
.wnf   |   Outline font description (CorelDRAW native format)
.wo4   |   STABCAL file
.wo7   |   STABCAL file
.woa   |   Swap file (Windows 3.x)
.woc   |   Microsoft Office 2007 Organization file
Organization (Windows OrgChart)
.wor   |   MapInfo Workspace
.wot   |   WebEx Saved Meeting Movie
.wow   |   Music (8 channels) (Grave Mod Player)
.wp   |   Text file (WordPerfect 4.2)
.wp3   |   Microsoft Photo Story Project file
.wp5   |   Document (WordPerfect 5.x)
.wpd   |   Document (WordPerfect 6.0 – PFS:WindowWorks)
.wpf   |   Fax (WorldPort)
Form (WordPerfect)
.wpg   |   WildTangent Branded .PNG file
Wordperfect Graphics vector graphics (DrawPerfect)
.wpj   |   MS Works Projects
.wpk   |   Macros (WordPerfect for Win)
.wpl   |   Windows Media Player Playlist file/td>
Draxy Software Wallpaper Sequencer
Online WebPanel file
PFS WinWorks Spreadsheet
WHAT IF MOL-object
Words of Worship Playlist
.wpm   |   Macros (WordPerfect)
.wps   |   Text document (MS Works)
.wpt   |   WordPerfect template
602 pro PC SUITE template document file
.wpw   |   PerfectWorks document
.wq!   |   Compressed spreadsheet (Quattro Pro)
.wq1   |   Spreadsheet (Quattro Pro)
.wr1   |   Spreadsheet (Symphony 1.1 – 1.2 – 2)
.wrd   |   Template (Charisma)
.wrf   |   used for WebEx recording. Microsoft office add-in for meeting
.wri   |   Text file (Windows Write)
.wrk   |   Spreadsheet (Symphony 1.0, 1.2, 2.0, 3.0)
.wrl   |   Plain text VRML file
.wrml   |   Plain text VRML file
.wrp   |   Compressed Amiga file archive created by WARP
.wrs   |   Windows Resource eg. printer driver (WordPerfect for Win)
.ws   |   Text file (WordStar 5.0-6.0)
.wsf   |   Windows Script file
.wss   |   Web Screen Saver file (Web Screen Saver 2008)
.ws2   |   Text file (WordStar 2000)
.wsc   |   Windows scripting component file
.wsd   |   Document (WordStar)
.wsf   |   Windows Script file
.wsh   |   Windows Script Host Settings file
.wsp   |   Workspace (Fortran PowerStation)
.wsr   |   FirstStop WebSearch file
.wss   |   Web Screen Saver file (Web Screen Saver 2008)
.wst   |   Text file (WordStar)
.wsx   |   WinMX Filesharing Program
.wsz   |   Skin Zip file (WinAmp)
.wtd   |   WinTune Document file
.wtr   |   MS Encarta file
.wv   |   WavPack compressed Audio file
.wve   |   Component of a DIVX Movie Conversion
Psion Series 3a/3c/3mx Waveform sound file
.wvx   |   Metafile
.wvw   |   Backup Wonderware InTouch window file
.wwb   |   Button bar for document window (WordPerfect for Win)
.wwk   |   Keyboard layout (WordPerfect for Win)
.wwp   |   Worms World Party Teams file
.wws   |   AutoRoute User Information
.wwv   |   WildTangent Branded .WAV file
.wxp   |   Document (EXP for Windows)
.wxs   |   Easy Cross crosstitch file
.wzg   |   WZebra file
.wzs   |   Microsoft Word wizard
.x   |   DirectX Object file
AVS X image file (SDSC Image Tool)
Lex source code file
.x01   |   Secondary index (Paradox)
.x02   |   Secondary index (Paradox)
.x03   |   Secondary index (Paradox)
.x04   |   Secondary index (Paradox)
.x05   |   Secondary index (Paradox)
.x06   |   Secondary index (Paradox)
.x07   |   Secondary index (Paradox)
.x08   |   Secondary index (Paradox)
.x09   |   Secondary index (Paradox)
.x16   |   Macromedia Program Extension (16-bit)
.x32   |   Macromedia Program Extension (32-bit)
.xap   |   Silveright Application Package
.xbel   |   XML Bookmark Exchange Language file
.xbm   |   X11 Bitmap graphics
.xcf   |   Gimp Image file
.xdf   |   Milnta APL Transfer Function
Workshare Synergy file
.xdw   |   X Windows Screen Dump file
.xef   |   X-Genics eManager – XML form and data for eManager
.xem   |   X-Genics eManager – Metered units / credit definition for forms/file usage in eManager
.xep   |   X-Genics eManager – File packaging / unpacking information for eManager components
.xes   |   X-Genics eManager – XML definition for UI skins
.xet   |   X-Genics eManager – XML definition for eManager process
.xev   |   X-Genics eManager – File download definition for auto-update and delivery of new procedures
.xez   |   X-Genics eManager – Template package for eManager
.xfd   |   XML Form in XFDL Format
.xfdl   |   Extensible Forms Description Language file
.xfn   |   Printer font (Xerox 4045) (Ventura Publisher)
.xft   |   24 pin printer font (ChiWriter)
.xfx   |   Fax File (various)
.xhtml   |   Extensible HyperText Markup Language file
.xi   |   Fast Tracker 2 Instrument or ScreamTracker Instrument file
.xif   |   Wang image file
Often a Fax image (TIFF) file
ScanSoft Pagis XIF Extended Image Format
Xerox image file
.xla   |   Xlib Archive (xlibpas2.zip)
.xla   |   Add-in macro sheet (MS Excel)
.xlb   |   Data (MS Excel)
.xlc   |   Chart document (MS Excel)
.xlk   |   Excel Backup
.xll   |   Excel Dynamic Link Library (MS Excel)
.xlm   |   Macro sheet (MS Excel)
.xlr   |   MS Works file
.xls   |   Spreadsheet(MS Works)
DATAIR Data Import Specification Translation file
Worksheet (MS Excel)
.xlsm   |   Microsoft Excel Macro-Enabled Workbook file
.xlsx   |   Microsoft Excel XML file
.xlt   |   Template (MS Excel)
Translation table (Lotus 1-2-3 – Symphony – Procomm Plus)
.xlw   |   Workbook (MS Excel)
.xlx   |   XoloX Incomplete Download file
.xm   |   Music (Fast Tracker)
.xmi   |   Compressed eXtended MIdi music
.xml   |   Extensible Markup Language file
.xmp   |   Extensible Metadata Platform
.xnf   |   Standard Network File form
.xpi   |   XPInstall File
Digital surveillance system
.xnk   |   Microsoft Exchange Shortcut
.xpl   |   Music file
.xpm   |   X11 Pixel Map graphics
.xpr   |   Memorex CD-ROM label file
.xps   |   XML Paper Specification file
.xpt   |   Mozilla Firefox Component file
XPCOM Type Library
.xpw   |   Leading Market Technologies EXPO
Screen-Fillable Surfer Version of a Form
.xqt   |   Executable file (Waffle)
Macro sheet (SuperCalc)
.xpv   |   digital surveillance system
.xrf   |   Cross-reference file
.xsd   |   XML Schema file
.xsf   |   Milnta APL Transfer Function
.xsl   |   Extensible Stylesheet Language file
.xspf   |   XML Shareable Playlist file
.xss   |   Ability Office Spreadsheet
.xtb   |   External translation table (LocoScript)
.xtm   |   Xtremsplit Data file
.xtr   |   MapTool file (an add-on for UI-View)
Xtreme Tuning files
.xul   |   XML User Interface Language file
.xvb   |   WinExplorer VB Script
.xvid   |   Xvid Video file
.xvl   |   Compact 3D file format for web apps.(Lattice 3D)
.xwd   |   X Window System window dump image graphics (SDSC Image Tool)
.xwk   |   Keyboard mapping (Crosstalk)
.xwp   |   Session (Crosstalk)
Text file (Xerox Writer)
.xx   |   Compressed file ASCII archive created by XXENCODE (uuexe515.exe)
.xxe   |   Compressed file ASCII archive created by XXENCODE (uuexe515.exe)
.xxx   |   Singer Sewing Machine Professional SewWare file
Embroidery Design file
.xy   |   Text file (XY Write)
.xy3   |   Text file (XYWrite III)
.xyw   |   Text file (XyWrite III)
.xyz   |   ASCII RPG Maker Graphic Format
.xz   |   XZ Compressed Archive file
.y   |   Yacc grammar file
Compressed Amiga file archive created by YABBA
.y01   |   Secondary index (Paradox)
.y02   |   Secondary index (Paradox)
.y03   |   Secondary index (Paradox)
.y04   |   Secondary index (Paradox)
.y05   |   Secondary index (Paradox)
.y06   |   Secondary index (Paradox)
.y07   |   Secondary index (Paradox)
.y08   |   Secondary index (Paradox)
.y09   |   Secondary index (Paradox)
.yab   |   Yabasic Source Code file
.yal   |   Data (Arts & Letters)
.ybk   |   Microsoft Encarta Yearbook file
.ychat   |   Yahoo! Messenger chat log
.yenc   |   yEnc file
.ymg   |   Yahoo! Messenger file
.yml   |   YAML file
.ync   |   yEnc Encoded file
.yps   |   Yahoo! Messenger Data file
.yuv   |   YUV Encoded Image or Video file
.yz   |   Compressed file archive created by YAC
.yz1   |   Yamazaki ZIPPER file
.z   |   Compressed file ASCII archive created by COMPRESS (comp430d.zip)
Unix Compressed file archive created by PACK (Unix SysV pack)
.z01   |   Winzip Split Archive file
.z02   |   Split Archive file
.z1   |   ZoneAlarm Renamed VB file
.z3   |   Infocom game module
.zap   |   Zero Administration Package file
FileWrangler Compressed file
MS Windows Software Installation Settings
.zbd   |   Canon ZoomBrowser Database file
MechWarrior 3 Snow Fields file
Zebedee Encrypted file
.zdb   |   Zimbra Database File
.zdb   |   
.zdct   |   After Effects Language file
.zdg   |   Compressed ZiffNet text document (Zview)
.zdl   |   Design Pro Label file
.zdp   |   ZDNet Password Pro 32
.zer   |   Data file (Zerberus)
.zfx   |   ZFX – CC3 File Packer Tool
.zgm   |   Graphics (Zenographics)
.zhtml   |   Secure IE Zipped HTML file
.zi   |   Renamed Zip file
.zif   |   Zooming Image Format file
.zip   |   ZIP Compressed file archive
.zipx   |   WinZip Compressed file
.zix   |   Quicken Data file
WinZix Compressed file
.zl?   |   Zone Alarm Mailsafe Renamed File.
ZoneAlarm quarantines attachments and changes their file names.
ZoneAlarm Quarantined EXE File (Ex. .EXE to .zl9)
.zl   |   Zlib Compressed file
.zls   |   Atlantis Ocean Mind Word Processing file
.zmc   |   ZoneAlarm Mailsafe
.zom   |   Compressed Amiga file archive created by ZOOM
.zon   |   Grand Theft Auto 3 Zone file
.zoo   |   Compressed file archive created by ZOO (zoo210.exe)
.zpk   |   Z Firm Package file
.zpl   |   Creative Zen Micro playlist
.zst   |   ZSNES Slot 0 Savestate
.ztd   |   Ziff Davis Media text database
.zvd   |   Zyxel Voicefile (Z-Fax)
.zvz   |   Possible Virus file
.zxp   |   Extension Manager Package
.zz   |   Zzip Compressed Archive file
.zzt   |   ZZT Game Creation Syste
.sim   |   Vinatext database file
